Ligand;Grid;Run;dG;VS
CP-10;20;2;-6.0965;-7.11719
CP-10;20;3;-6.02597;-7.11326
CP-10;20;4;-7.41485;-7.8749
CP-10;20;5;-6.32672;-6.986
CP-10;20;6;-6.45112;-7.35046
CP-10;20;7;-7.49744;-7.97798
CP-10;20;8;-6.33268;-6.97832
CP-10;20;9;-7.50264;-7.90971
CP-10;20;10;-5.9443;-6.99199
CP-10;21;1;-5.93736;-6.88622
CP-10;21;2;-6.007;-6.91124
CP-10;21;3;-6.3524;-7.12783
CP-10;21;4;-6.08498;-7.05486
CP-10;21;5;-6.40722;-7.23285
CP-10;21;6;-6.67946;-7.43101
CP-10;21;7;-6.05842;-7.02116
CP-10;21;8;-6.19573;-7.20144
CP-10;21;9;-6.22783;-7.16123
CP-10;21;10;-6.74381;-7.40175
CP-10;22;1;-7.29459;-7.69853
CP-10;22;2;-5.64892;-6.8987
